Location,Freq.,Band,Station Name,For.,Call Sign,Power,P. Unit
Oshawa,107.7,FM,CKDO,m,CKDO-FM-1,2,kW
Oshawa,1580,AM,CKDO,m,CKDO,10,kW
Osnaburgh,91.9,FM,Wahsa,e,CIDE-FM-11,10,w
Osnaburgh,104.5,FM,CBC Radio One,1,CBQN-FM,81,w
Ottawa,88.5,FM,Live 88 5,p,CILV-FM,90,kW
Ottawa,89.1,FM,CHUO,o,CHUO-FM,18.1,kW
Ottawa,89.9,FM,Hot 89 9,p,CIHT-FM,27,kW
Ottawa,90.7,FM,IRC Première,A,CBOF-FM,84,kW
Ottawa new,90.7,HD1,,,CBOF-HD,84,kW
Ottawa,91.5,FM,CBC Radio One,1,CBO-FM,84,kW
Ottawa new,91.5,HD1,,,CBO-HD,84,kW
Ottawa,92.3,FM,Paroisse du Sacré-Coeur,F g,VF8013,1,w
Ottawa,92.7,FM,,F g,CJVN-FM,50,w
Ottawa,93.1,FM,CKCU,o,CKCU-FM,12,kW
Ottawa,93.9,FM,Pure Country 94,c,CKKL-FM,95,kW
Ottawa,94.5,FM,Unique FM,F o,CJFO-FM,2,kW
Ottawa,95.7,FM,elmnt fm,e,CFPO-FM,9.1,kW
Ottawa,95.7,HD1,elmnt fm,e,CFPO-HD,9.1,kW
Ottawa,97.9,FM,CHIN,e,CJLL-FM,6.77,kW
Ottawa,98.5,FM,Jewel 98 5,m,CJWL-FM,2.5,kW
Ottawa,99.1,FM,CHRI,g,CHRI-FM,66,kW
Ottawa,99.7,FM,boom 99 7,p,CJOT-FM,100,kW
Ottawa,100.3,FM,Majic 100,p,CJMJ-FM,100,kW
Ottawa,100.3,HD1,Majic 100,p,CJMJ-HD,100,kW
Ottawa,100.3,HD2,News Talk 580 CFRA,n,CJMJ-HD,100,kW
Ottawa,100.3,HD3,TSN 1200,n,CJMJ-HD,100,kW
Ottawa,101.7,FM,Rebel 101.7,p,CIDG-FM,21,kW
Ottawa,102.5,FM,Ici musique,Q,CBOX-FM,84,kW
Ottawa,103.3,FM,CBC Music,2,CBOQ-FM,84,kW
Ottawa,105.3,FM,Kiss 105 3,p,CISS-FM,84,kW
Ottawa,106.1,FM,Chez 106,p,CHEZ-FM,100,kW
Ottawa,106.9,FM,Jump 106 9,p,CKQB-FM,84,kW
Ottawa,107.9,FM,CKDJ,o,CKDJ-FM,100,w
Ottawa,580,AM,News Talk 580 CFRA,n,CFRA,50/30,kW
Ottawa,1200,AM,TSN 1200,n,CFGO,50,kW
Ottawa,1310,AM,1310 News,n,CIWW,50,kW
Ottawa,1630,AM,AM 1630,i,CHYW,99,w
Owen Sound,90.1,FM,Life 100.3,g,CJLF-FM-1,75,w
Owen Sound,92.3,FM,92.3 The Dock,p,CJOS-FM,9.4,kW
Owen Sound,93.7,FM,Country 93,c,CKYC-FM,22,kW
Owen Sound,97.1,FM,CBC Music,2,CBL-FM-4,20.22,kW
Owen Sound,98.7,FM,CBC Radio One,1,CBCB-FM,100,kW
Owen Sound,106.5,FM,Mix 106.5,p,CIXK-FM,28,kW
Owen Sound,560,AM,560 CFOS,m,CFOS,7.5/1,kW
Parry Island,91.3,FM,ReZ 91,e,CHRZ-FM,60,w
Parry Sound,88.9,FM,Weatheradio,i,CBPO-FM,20,w
Parry Sound,89.9,FM,CBC Radio One,1,CBLR-FM,180,w
Parry Sound,103.3,FM,The Moose 103 3,p,CKLP-FM,46.6,kW
Pembroke,92.5,FM,CBC Radio One,1,CBCD-FM,100,kW
