,call sign,owner,format,lat,long,station name,power,p. unit,frequency,city of licence,n_stations,language,genre
334,CBPO-FM,CBC/Weatheradio Canada,weather alerts,45.333,-80.033,Weatheradio,20,w,88.9 FM,Parry Sound,3,1,weather alerts
335,CBLR-FM,CBC Radio One,public news/talk,45.333,-80.033,CBC Radio One,180,w,89.9 FM,Parry Sound,3,1,public news/talk
336,CKLP-FM,Vista Broadcast Group,adult hits,45.333,-80.033,The Moose 103 3,46.6,kW,103.3 FM,Parry Sound,3,1,adult hits
337,CBCD-FM,CBC Radio One,public news/talk,45.817,-77.1,CBC Radio One,100,kW,92.5 FM,Pembroke,5,1,public news/talk
338,CHVR-FM,Bell Media Radio,country,45.817,-77.1,Pure Country 96 7,100,kW,96.7 FM,Pembroke,5,1,country
339,CKQB-FM-1,Corus Entertainment,Top 40/CHR,45.817,-77.1,Jump 106 9,7.5,kW,99.9 FM,Pembroke,5,1,top 40/chr
340,CHRI-FM-2,Christian Hit Radio Inc.,Christian radio,45.817,-77.1,CHRI,22,w,100.7 FM,Pembroke,5,1,christian radio
341,CIMY-FM,My Broadcasting Corporation,adult contemporary,45.817,-77.1,my FM,34,kW,104.9 FM,Pembroke,5,1,adult contemporary
342,CFRH-FM,Radio Huronie,community radio (French),44.767,-79.933,CFRH,40,kW,88.1 FM,Penetanguishene,2,1,community radio
343,CBCM-FM,CBC Radio One,public news/talk,44.767,-79.933,CBC Radio One,1.76,kW,89.7 FM,Penetanguishene,2,1,public news/talk
344,CHLK-FM,Norm Wright and Brian Perkin (Perth FM Radio Inc.),community radio,44.9,-76.25,Lake 88,5.4,kW,88.1 FM,Perth,1,1,community radio
345,CJLF-FM-2,Trust Communications,Christian radio,44.3,-78.317,Life 100.3,500,w,89.3 FM,Peterborough,10,1,christian radio
346,CJMB-FM,My Broadcasting Corporation,modern rock/sports,44.3,-78.317,freq 90.5,175,w,90.5 FM,Peterborough,10,1,modern rock/sports
347,CFFF-FM,Trent Radio,Community Radio,44.3,-78.317,Trent Radio,700,w,92.7 FM,Peterborough,10,1,community radio
348,CJWV-FM,My Broadcasting Corporation,oldies,44.3,-78.317,Oldies 96.7,7,kW,96.7 FM,Peterborough,10,1,oldies
349,CBCP-FM,CBC Radio One,public news/talk,44.3,-78.317,CBC Radio One,12.438,kW,98.7 FM,Peterborough,10,1,public news/talk
350,CKPT-FM,Bell Media Radio,hot adult contemporary,44.3,-78.317,Energy 99 7,11,kW,99.7 FM,Peterborough,10,1,hot adult contemporary
351,CKRU-FM,Corus Entertainment,hot adult contemporary,44.3,-78.317,100.5 Fresh Radio,15,kW,100.5 FM,Peterborough,10,1,hot adult contemporary
352,CKWF-FM,Corus Entertainment,active rock,44.3,-78.317,101.5 The Wolf,15.2,kW,101.5 FM,Peterborough,10,1,active rock
353,CBBP-FM,CBC Music,public music,44.3,-78.317,CBC Music,12.438,kW,103.9 FM,Peterborough,10,1,public music
354,CKQM-FM,Bell Media Radio,country,44.3,-78.317,Pure Country 105,7.5,kW,105.1 FM,Peterborough,10,1,country
355,CJTL-FM,Native Evangelical Fellowship of Canada,First Nations community radio,51.467,-90.183,CJTL,50,w,96.5 FM,Pickle Lake,2,1,first nations community radio
356,CBQP-FM,CBC Radio One,public news/talk,51.467,-90.183,CBC Radio One,83,w,105.1 FM,Pickle Lake,2,1,public news/talk
357,CIDE-FM-12,Wawatay,First Nations community radio,51.8,-94.0,Wahsa,10,w,91.9 FM,Pikangikum,2,1,first nations community radio
358,CBQU-FM,CBC Radio One,public news/talk,51.8,-94.0,CBC Radio One,34,w,100.3 FM,Pikangikum,2,1,public news/talk
359,CJPP-FM,Parks Canada,tourist information,41.96417,-82.51778,Point Pelee National Park,50,w,90.7 FM,Point Pelee National Park,1,1,tourist information
