,call sign,owner,format,station name,for.,power,p. unit,frequency,city of licence
173,CING-FM,Corus Entertainment,adult contemporary,Energy 95 3,p,100,kW,95.3 FM,Hamilton
174,CIOI-FM,Mohawk College,campus radio,The Hawk,o,240,w,101.5 FM,Hamilton
175,CKLH-FM,Bell Media Radio,adult contemporary,102 9 K Lite,m,40.3,kW,102.9 FM,Hamilton
176,CFBW-FM,Bluewater Radio,community radio,BWR,o,250,w,91.3 FM,Hanover
177,CIMF-FM-1,Bell Media Radio,adult contemporary (French),Rouge fm,F p,1.25,kW,88.9 FM,Hawkesbury
178,CHPR-FM,RNC Media,adult contemporary (French),Wow 104.9 102.1,F p,780,w,102.1 FM,Hawkesbury
179,CKHK-FM,Evanov Communications,pop standards,Jewel 107 7,m,1.1,kW,107.7 FM,Hawkesbury
180,CBON-FM-26,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,8.34,kW,90.3 FM,Hearst
181,CINN-FM,Radio de l'Épinette Noire,community radio (French),CINN FM,F p,5.46,kW,91.1 FM,Hearst
182,CBCC-FM,CBC Radio One,public news/talk,CBC Radio One,1,8.34,kW,91.9 FM,Hearst
185,CBQT-FM-1,CBC Radio One,public news/talk,CBC Radio One,1,50,w,92.3 FM,Hornepayne
186,CFNO-FM-2,Dougall Media,adult contemporary,CFNO,p,280,w,107.1 FM,Hornepayne
188,CKAR-FM,Hunter's Bay Radio Inc.,community radio,Hunters Bay Radio,o,5.7,kW,88.7 FM,Huntsville
189,CBLU-FM,CBC Radio One,public news/talk,CBC Radio One,1,70,kW,94.3 FM,Huntsville
190,CJLF-FM-3,Trust Communications,Christian radio,Life 100.3,g,750,w,98.9 FM,Huntsville
191,CFBK-FM,Vista Broadcast Group,adult contemporary,105 5 Moose FM,p,43.4,kW,105.5 FM,Huntsville
192,CBL-FM-1,CBC Music,public music,CBC Music,2,70,kW,106.9 FM,Huntsville
193,CBES,CBC Radio One,public news/talk,CBC Radio One,1,40,w,690 AM,Ignace
194,CKDR-FM-1,Northwoods Broadcasting,adult contemporary,CKDR,p,50,w,97.5 FM,Ignace
195,VF2561,Douglas George Edwards,tourist information,Tourism Radio,i,1,w,96.9 FM,Innisfil
196,CFIF-FM,Vista Broadcast Group,adult contemporary,Moose 98.1,p,33,w,101.1 FM,Iroquois Falls
197,CJTK-FM-11,Eternacom,Christian radio,KFM,g,540,w,105.9 FM,Iroquois Falls
198,CFQK-FM,Northwest Broadcasting,hot adult contemporary,Energy 103 104,p,50,w,104.5 FM,Kaministiquia
199,CKGN-FM,Radio communautaire KapNord,community radio (French),CKGN,F,3,kW,89.7 FM,Kapuskasing
200,CBON-FM-24,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,43.9,kW,90.7 FM,Kapuskasing
202,CKAP-FM,Vista Broadcast Group,adult contemporary,The Moose,p,12,kW,100.9 FM,Kapuskasing
203,CBOK-FM,CBC Radio One,public news/talk,CBC Radio One,1,43.9,kW,105.1 FM,Kapuskasing
204,CFKP-FM,Wawatay,First Nations community radio,WRN,e,1,w,90.1 FM,Kasabonika
205,CIDE-FM-6,Wawatay,First Nations community radio,Wahsa,e,10,w,91.9 FM,Kasabonika
206,CKAS-FM,Wawatay,First Nations community radio,WRN,e,1,w,90.1 FM,Kashechewan
207,CIDE-FM-21,Wawatay,First Nations community radio,Wahsa,e,8,w,91.9 FM,Keewaywin
209,CJRL-FM,Acadia Broadcasting,adult contemporary,89 5 The Lake,p,50,kW,89.5 FM,Kenora
210,CKSB-7-FM,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,21.721,kW,93.5 FM,Kenora
211,CBQX-FM,CBC Radio One,public news/talk,CBC Radio One,1,41.222,kW,98.7 FM,Kenora
212,CKQV-FM-2,Golden West Broadcasting,CHR,Q104,p,1.6,kW,104.5 FM,Kenora
